code,ObsYear,Age,LeftSpike,RightSpike,AvgSpike,DeerYear
HAZ10,2011,1,0.5,0.5,0.5,2010
EMB10,2011,1,1,1,1,2010
TBS10,2011,1,5,5,5,2010
BOO10,2011,1,4,4,4,2010
CCH10,2011,1,1,1,1,2010
NAV10,2011,1,0.5,0.5,0.5,2010
ORY10,2011,1,0.5,0.5,0.5,2010
RUI10,2011,1,1,1,1,2010
PSS10,2011,1,1,1,1,2010
DIN10,2011,1,1,1,1,2010
CMR10,2011,1,0.5,0.5,0.5,2010
TUI10,2011,1,0.5,0.5,0.5,2010
ONY11,2012,1,3,4,3.5,2011
MIC11,2012,1,1,1,1,2011
CAM11,2012,1,2,2,2,2011
HDX11,2012,1,1,1,1,2011
BRY11,2012,1,3,4,3.5,2011
BMA11,2012,1,1,1,1,2011
CBH11,2012,1,2,2,2,2011
GYP11,2012,1,0.5,0.5,0.5,2011
NAV11,2012,1,2,2,2,2011
WSD11,2012,1,3,2,2.5,2011
UKL11,2012,1,1,1,1,2011
VNL11,2012,1,1,1,1,2011
CNK11,2012,1,1,1,1,2011
CYA11,2012,1,0.5,0.5,0.5,2011
RDD12,2013,1,6,7,6.5,2012
SWT12,2013,1,2,2,2,2012
HOP12,2013,1,1,1,1,2012
APA12,2013,1,1,1,1,2012
HAZ12,2013,1,3,3,3,2012
RUF12,2013,1,3,4,3.5,2012
CRX12,2013,1,5,4,4.5,2012
BED12,2013,1,1.5,0.5,1,2012
RBY12,2013,1,0.5,0.5,0.5,2012
TNQ12,2013,1,7,7,7,2012
PSS12,2013,1,9,9,9,2012
GLR12,2013,1,2,1,1.5,2012
WHF12,2013,1,1,4,2.5,2012
DRE12,2013,1,5,6,5.5,2012
DAI12,2013,1,1,2,1.5,2012
YOG12,2013,1,0.25,0.25,0.25,2012
ONY12,2013,1,0.5,0.5,0.5,2012
BRY12,2013,1,1,1,1,2012
ORY12,2013,1,0.25,0.25,0.25,2012
ALL12,2013,1,0.5,0.5,0.5,2012
TWL12,2013,1,1,1,1,2012
DIN12,2013,1,1,1,1,2012
CNK12,2013,1,3,2,2.5,2012
ULU12,2013,1,1,1,1,2012
CHK13,2014,1,1,1,1,2013
LYR14,2015,1,4,5,4.5,2014
UKL14,2015,1,0.25,1,0.625,2014
PRC14,2015,1,6,4,5,2014
DRE14,2015,1,4,3,3.5,2014
EMB14,2015,1,1,2,1.5,2014
PPL14,2015,1,5,6,5.5,2014
USS14,2015,1,1.5,2,1.75,2014
BRY14,2015,1,1,2,1.5,2014
CNK14,2015,1,0.5,0.5,0.5,2014
CMA14,2015,1,1,2,1.5,2014
TWIXY,2015,1,2,1.5,1.75,2014
RAS15,2016,1,1,1,1,2015
CBH15,2016,1,4,4,4,2015
DRE15,2016,1,6,6,6,2015
MNM15,2016,1,4,4,4,2015
FLM15,2016,1,0.5,0.5,0.5,2015
SCP15,2016,1,4,4,4,2015
EDD15,2016,1,2,3,2.5,2015
SML15,2016,1,5,5,5,2015
CCH15,2016,1,4,3.5,3.75,2015
PCN15,2016,1,9,10,9.5,2015
CDN15,2016,1,3,4,3.5,2015
EKA15,2016,1,0.5,0.5,0.5,2015
DAK15,2016,1,4,4,4,2015
MDD15,2016,1,2,0,1,2015
ALL15,2016,1,0.5,0.5,0.5,2015
KLP16,2017,1,5,5,5,2016
XIN16,2017,1,4,4,4,2016
MAJ16,2017,1,2,2,2,2016
PSS16,2017,1,0.5,0.5,0.5,2016
EDD16,2017,1,8,8,8,2016
CLS16,2017,1,1,1,1,2016
ASB16,2017,1,2,2,2,2016
BSG16,2017,1,3,3,3,2016
ARE16,2017,1,0.5,0.5,0.5,2016
NAV16,2017,1,0.5,0.5,0.5,2016
KAN16,2017,1,1,1,1,2016
FLM16,2017,1,7,7,7,2016
VNS16,2017,1,1,2,1.5,2016
KLN17,2018,1,1,1,1,2017
DRE17,2018,1,2,2,2,2017
BMA17,2018,1,3,3,3,2017
ING17,2018,1,4,4,4,2017
VNT17,2018,1,3,3,3,2017
JMC18,2019,1,3,2,2.5,2018
CBH18,2019,1,2,2,2,2018
MAJ18,2019,1,7,7,7,2018
FLM18,2019,1,1,1,1,2018
ALO18,2019,1,3,4,3.5,2018
CLS18,2019,1,2,2,2,2018
PRL18,2019,1,7,7,7,2018
AME18,2019,1,0.5,0.5,0.5,2018
SML18,2019,1,3,1,2,2018
GLE18,2019,1,3,3,3,2018
BSG18,2019,1,4,3,3.5,2018
BAU18,2019,1,1,1,1,2018
IRI18,2019,1,3,3,3,2018
RDD19,2020,1,1,1,1,2019
TLS19,2020,1,4,4,4,2019
REG19,2020,1,3,3,3,2019
ELK19,2020,1,2,2,2,2019
SHO19,2020,1,3,3,3,2019
GGZ19,2020,1,5,5,5,2019
PRL19,2020,1,10,10,10,2019
BMY19,2020,1,0.5,0.5,0.5,2019
WIC19,2020,1,1,1,1,2019
KLP20,2021,1,1,1,1,2020
JMC20,2021,1,2,2,2,2020
MNU20,2021,1,8,8,8,2020
MAJ20,2021,1,10,10,10,2020
ELK20,2021,1,0.25,0.25,0.25,2020
MAA20,2021,1,0.5,0.5,0.5,2020
BGE20,2021,1,2,2,2,2020
SPU20,2021,1,11,11,11,2020
BRZ20,2021,1,1,1,1,2020
NIA20,2021,1,0.5,0.5,0.5,2020
LIA20,2021,1,3,3,3,2020
EKA20,2021,1,2,2,2,2020
KOH20,2021,1,1,1,1,2020
IRI20,2021,1,0.5,0.5,0.5,2020
CES20,2021,1,4,4,4,2020
GTO20,2021,1,4,5,4.5,2020
HAN20,2021,1,2,2,2,2020
RDD21,2022,1,2,2,2,2021
SAE21,2022,1,4,4,4,2021
JMC21,2022,1,2,2,2,2021
RHA21,2022,1,1,4,2.5,2021
MCU21,2022,1,2,2,2,2021
QIN21,2022,1,3,3,3,2021
KAL21,2022,1,5,5,5,2021
MAA21,2022,1,6,6,6,2021
BCA21,2022,1,2,3,2.5,2021
STT21,2022,1,3,3,3,2021
CYP21,2022,1,2,2,2,2021
ZUN21,2022,1,4,4,4,2021
CES21,2022,1,13,13,13,2021
BOE21,2022,1,2.5,2.5,2.5,2021
